                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.56728,                0.92567,                0.31477,                0.90665,                0.75403,                0.65457,                0.72273,                0.41017,                0.76072,                 0.6598,                0.72957,                0.40765,                 1.8542,                 2.9609,                 1.3406,                 1.7067,               0.003961,               0.003961,               0.003961
                     63,                0.56008,                0.90925,                0.31175,                0.90504,                0.75952,                0.65365,                0.72521,                0.41055,                0.76753,                0.65709,                0.73021,                0.40903,                 1.8556,                 2.9798,                 1.3358,                 1.7101,               0.003862,               0.003862,               0.003862
                     64,                0.55946,                0.91241,                0.31013,                0.90418,                0.76001,                0.64486,                0.72185,                0.40466,                 0.7656,                0.65118,                0.72666,                0.40314,                 1.8732,                 3.0062,                 1.3412,                 1.7277,               0.003763,               0.003763,               0.003763
                     65,                0.55701,                 0.9131,                0.31032,                0.90271,                0.76537,                0.64517,                 0.7184,                0.40209,                0.77037,                0.64995,                0.72282,                0.40115,                 1.8824,                  3.016,                 1.3412,                 1.7356,               0.003664,               0.003664,               0.003664
                     66,                0.55312,                0.90317,                0.30489,                0.90379,                 0.7578,                0.64811,                0.72002,                0.40316,                0.76842,                0.64995,                0.72374,                0.40236,                 1.8811,                  3.028,                 1.3406,                 1.7335,               0.003565,               0.003565,               0.003565
                     67,                0.54415,                0.88821,                0.30125,                0.89945,                0.76117,                0.64565,                0.72106,                0.40385,                0.76592,                0.65221,                0.72558,                0.40292,                 1.8843,                 3.0461,                 1.3431,                 1.7381,               0.003466,               0.003466,               0.003466
                     68,                0.54405,                 0.8954,                0.30091,                0.89929,                0.76567,                0.65057,                0.72317,                0.40473,                0.77065,                0.65641,                0.72792,                0.40339,                 1.8801,                 3.0601,                 1.3374,                  1.739,               0.003367,               0.003367,               0.003367
                     69,                 0.5386,                0.88129,                0.29775,                0.89742,                0.77157,                0.65038,                0.72402,                0.40545,                0.77362,                0.65272,                0.72564,                0.40355,                 1.8794,                 3.0812,                 1.3402,                 1.7403,               0.003268,               0.003268,               0.003268
                     70,                0.53873,                0.88107,                 0.2958,                0.89707,                 0.7685,                0.65148,                0.72272,                0.40545,                 0.7679,                0.65703,                0.72518,                0.40384,                 1.8766,                 3.0936,                 1.3472,                  1.739,               0.003169,               0.003169,               0.003169
                     71,                0.53346,                0.87397,                0.29196,                0.89408,                0.76598,                0.65365,                0.72368,                0.40585,                 0.7667,                0.65887,                0.72615,                0.40449,                 1.8746,                 3.1088,                 1.3496,                 1.7391,                0.00307,                0.00307,                0.00307
                     72,                0.52959,                0.86999,                0.29214,                0.89449,                0.76628,                0.64965,                0.72102,                0.40422,                0.76523,                0.65672,                0.72306,                0.40229,                 1.8777,                 3.1197,                 1.3588,                 1.7442,               0.002971,               0.002971,               0.002971
                     73,                0.52395,                0.86211,                0.28694,                0.89226,                0.76487,                0.65272,                 0.7196,                0.40345,                0.75852,                0.65826,                0.72236,                0.40173,                  1.882,                 3.1287,                 1.3631,                 1.7503,               0.002872,               0.002872,               0.002872
                     74,                0.51777,                0.85972,                0.28566,                0.89331,                0.75919,                0.65611,                0.71794,                0.40284,                0.76133,                0.65795,                0.72078,                0.40121,                 1.8836,                 3.1325,                 1.3685,                 1.7526,               0.002773,               0.002773,               0.002773
                     75,                  0.521,                0.85728,                0.28479,                0.89106,                0.76238,                 0.6518,                0.71596,                0.40188,                0.76598,                0.65488,                0.71968,                0.40046,                 1.8873,                 3.1323,                 1.3797,                 1.7576,               0.002674,               0.002674,               0.002674
                     76,                0.51545,                0.84905,                0.28136,                 0.8879,                0.76288,                0.64903,                 0.7151,                0.40113,                0.76066,                0.65395,                0.71909,                0.40007,                 1.8897,                 3.1359,                 1.3824,                 1.7597,               0.002575,               0.002575,               0.002575
                     77,                0.51172,                0.84346,                0.27986,                0.88877,                0.76115,                 0.6499,                 0.7154,                0.40153,                 0.7635,                0.65395,                0.71962,                0.40055,                 1.8892,                 3.1369,                 1.3859,                 1.7609,               0.002476,               0.002476,               0.002476
                     78,                0.50603,                0.83897,                0.27594,                0.88592,                0.75983,                0.64842,                 0.7155,                 0.4025,                0.76571,                0.65488,                0.71967,                0.40059,                 1.8903,                 3.1407,                 1.3872,                 1.7644,               0.002377,               0.002377,               0.002377
                     79,                0.50436,                0.83365,                0.27346,                0.88743,                0.76012,                0.64719,                0.71361,                0.40159,                 0.7621,                 0.6518,                0.71816,                0.40048,                 1.8925,                 3.1456,                 1.3915,                  1.769,               0.002278,               0.002278,               0.002278
                     80,                0.50182,                0.83301,                0.27383,                0.88559,                0.75724,                0.64688,                0.71248,                0.40148,                0.76271,                0.65211,                0.71876,                0.40094,                 1.8932,                 3.1458,                 1.3962,                 1.7718,               0.002179,               0.002179,               0.002179
                     81,                0.49816,                 0.8214,                0.27169,                0.88591,                0.75428,                0.64319,                0.71064,                 0.4019,                0.76274,                0.65065,                0.71816,                 0.4012,                 1.8941,                 3.1482,                 1.3962,                 1.7744,                0.00208,                0.00208,                0.00208
                     82,                0.49547,                0.81952,                0.27038,                  0.886,                0.73343,                0.65843,                0.71067,                0.40209,                0.74497,                0.65949,                0.71712,                0.40082,                  1.895,                 3.1543,                 1.3982,                 1.7772,               0.001981,               0.001981,               0.001981
                     83,                0.49361,                0.81268,                0.26781,                0.88341,                0.72903,                0.66257,                0.71053,                0.40195,                 0.7422,                0.66153,                0.71616,                0.40066,                 1.8969,                 3.1592,                 1.4001,                 1.7807,               0.001882,               0.001882,               0.001882
                     84,                0.48656,                0.81115,                0.26607,                0.88206,                0.73082,                0.66142,                0.71002,                0.40185,                0.74275,                0.65887,                0.71568,                0.40058,                 1.8973,                 3.1648,                 1.4005,                  1.783,               0.001783,               0.001783,               0.001783
                     85,                0.48209,                 0.8028,                0.26244,                0.87985,                0.72265,                 0.6638,                0.70842,                0.40186,                0.74526,                0.65783,                0.71639,                0.40087,                 1.8977,                 3.1669,                 1.4039,                 1.7836,               0.001684,               0.001684,               0.001684
                     86,                 0.4816,                0.79834,                0.26323,                 0.8797,                0.72739,                 0.6598,                0.70823,                0.40163,                0.74006,                0.66558,                 0.7168,                0.40081,                 1.8991,                 3.1741,                 1.4024,                 1.7855,               0.001585,               0.001585,               0.001585
                     87,                0.47419,                 0.7955,                0.25841,                0.87769,                0.72728,                0.66287,                0.70879,                 0.4017,                   0.74,                0.66779,                0.71699,                 0.4012,                 1.8999,                 3.1767,                 1.4045,                 1.7865,               0.001486,               0.001486,               0.001486
                     88,                0.46952,                0.77974,                0.25508,                0.87643,                0.72183,                0.66872,                0.70876,                0.40178,                0.74009,                0.66779,                0.71852,                0.40125,                 1.9006,                 3.1786,                 1.4052,                 1.7875,               0.001387,               0.001387,               0.001387
